Date, Open, High, Low, Close
20191220,3223.33,3225.65,3216.03,3221.22
20191223,3226.05,3227.78,3222.3,3224.01
20191224,3225.45,3226.43,3220.51,3223.38
20191226,3227.2,3239.91,3227.2,3239.91
20191227,3247.23,3247.93,3234.37,3240.02
20191230,3240.09,3240.92,3216.57,3221.29
20191231,3215.18,3231.72,3212.03,3230.78
20200102,3244.67,3257.85,3235.53,3257.85
20200103,3226.36,3246.15,3222.34,3234.85
20200106,3217.55,3246.84,3214.64,3246.28
20200107,3241.86,3244.91,3232.43,3237.18
20200108,3238.59,3267.07,3236.67,3253.05
20200109,3266.03,3275.58,3263.67,3274.7
20200110,3281.81,3282.99,3260.86,3265.35
20200113,3271.13,3288.13,3268.43,3288.13
20200114,3285.35,3294.25,3277.19,3283.15
20200115,3282.27,3298.66,3280.69,3289.29
20200116,3302.97,3317.05,3302.82,3316.81
20200117,3323.66,3329.88,3318.86,3329.62
20200121,3321.03,3329.79,3316.61,3320.79
20200122,3330.02,3337.77,3320.04,3321.75
20200123,3315.77,3326.88,3301.87,3325.54
20200124,3333.1,3333.18,3281.53,3295.47
20200127,3247.16,3258.85,3234.5,3243.63
20200128,3255.35,3285.78,3253.22,3276.24
20200129,3289.46,3293.47,3271.89,3273.4
20200130,3256.45,3285.91,3242.8,3283.66
20200131,3282.33,3282.33,3214.68,3225.52
20200203,3235.66,3268.44,3235.66,3248.92
20200204,3280.61,3306.92,3280.61,3297.59
20200205,3324.91,3337.58,3313.75,3334.69
20200206,3344.92,3347.96,3334.39,3345.78
20200207,3335.54,3341.42,3322.12,3327.71
20200210,3318.28,3352.09,3317.77,3352.09
20200211,3365.87,3375.63,3352.72,3357.75
20200212,3370.5,3381.47,3369.72,3379.45
20200213,3365.9,3385.09,3360.52,3373.94
20200214,3378.08,3380.69,3366.15,3380.16
20200218,3369.04,3375.01,3355.61,3370.29
20200219,3380.39,3393.52,3378.83,3386.15
20200220,3380.45,3389.15,3341.02,3373.23
20200221,3360.5,3360.76,3328.45,3337.75
20200224,3257.61,3259.81,3214.65,3225.89
20200225,3238.94,3246.99,3118.77,3128.21
20200226,3139.9,3182.51,3108.99,3116.39
20200227,3062.54,3097.07,2978.19,2978.76
20200228,2916.9,2959.72,2855.84,2954.22
20200302,2974.28,3090.24,2945.19,3090.23
20200303,3096.46,3136.72,2976.63,3003.37
20200304,3045.75,3130.97,3034.38,3130.12
20200305,3075.7,3083.04,2999.83,3023.94
20200306,2954.2,2985.93,2901.54,2972.37
20200309,2863.89,2863.89,2734.43,2746.56
20200310,2813.48,2882.23,2734,2882.23
20200311,2825.6,2825.6,2707.22,2741.38
20200312,2630.86,2660.95,2478.86,2480.64
20200313,2569.99,2711.02,2492.37,2711.02
20200316,2508.59,2562.98,2380.94,2386.13
20200317,2425.66,2553.93,2367.04,2529.19
20200318,2436.5,2453.57,2280.52,2398.1
20200319,2393.48,2466.97,2319.78,2409.39
20200320,2431.94,2453.01,2295.56,2304.92
20200323,2290.71,2300.73,2191.86,2237.4
20200324,2344.44,2449.71,2344.44,2447.33
20200325,2457.77,2571.42,2407.53,2475.56
20200326,2501.29,2637.01,2500.72,2630.07
20200327,2555.87,2615.91,2520.02,2541.47
20200330,2558.98,2631.8,2545.28,2626.65
20200331,2614.69,2641.39,2571.15,2584.59
20200401,2498.08,2522.75,2447.49,2470.5
20200402,2458.54,2533.22,2455.79,2526.9
20200403,2514.92,2538.18,2459.96,2488.65
20200406,2578.28,2676.85,2574.57,2663.68
20200407,2738.65,2756.89,2657.67,2659.41
20200408,2685,2760.75,2663.3,2749.98
20200409,2776.99,2818.57,2762.36,2789.82
20200413,2782.46,2782.46,2721.17,2761.63
20200414,2805.1,2851.85,2805.1,2846.06
20200415,2795.64,2801.88,2761.54,2783.36
20200416,2799.34,2806.51,2764.32,2799.55
20200417,2842.43,2879.22,2830.88,2874.56
20200420,2845.62,2868.98,2820.43,2823.16
20200421,2784.81,2785.54,2727.1,2736.56
20200422,2787.89,2815.1,2775.95,2799.31
20200423,2810.42,2844.9,2794.26,2797.8
20200424,2812.64,2842.71,2791.76,2836.74
20200427,2854.65,2887.72,2852.89,2878.48
20200428,2909.96,2921.15,2860.71,2863.39
20200429,2918.46,2954.86,2912.16,2939.51
20200430,2930.91,2930.91,2892.47,2912.43
20200501,2869.09,2869.09,2821.61,2830.71
20200504,2815.01,2844.24,2797.85,2842.74
20200505,2868.88,2898.23,2863.55,2868.44
20200506,2883.14,2891.11,2847.65,2848.42
20200507,2878.26,2901.92,2876.48,2881.19
20200508,2908.83,2932.16,2902.88,2929.8
20200511,2915.46,2944.25,2903.44,2930.32
20200512,2939.5,2945.82,2869.76,2870.12
20200513,2865.86,2874.14,2793.15,2820
20200514,2794.54,2852.8,2766.64,2852.5
20200515,2829.95,2865.01,2816.78,2863.7
20200518,2913.86,2968.09,2913.86,2953.91
20200519,2948.59,2964.21,2922.35,2922.94
20200520,2953.63,2980.29,2953.63,2971.61
20200521,2969.95,2978.5,2938.57,2948.51
20200522,2948.05,2956.76,2933.59,2955.45
20200526,3004.08,3021.72,2988.17,2991.77
20200527,3015.65,3036.25,2969.75,3036.13
20200528,3046.61,3068.67,3023.4,3029.73
20200529,3025.17,3049.17,2998.61,3044.31
20200601,3038.78,3062.18,3031.54,3055.73
20200602,3064.78,3080.95,3051.64,3080.82
20200603,3098.9,3130.94,3098.9,3122.87
20200604,3111.56,3128.91,3090.41,3112.35
20200605,3163.84,3211.72,3163.84,3193.93
20200608,3199.92,3233.13,3196,3232.39
20200609,3213.32,3222.71,3193.11,3207.18
20200610,3213.42,3223.27,3181.49,3190.14
20200611,3123.53,3123.53,2999.49,3002.1
20200612,3071.04,3088.42,2984.47,3041.31
20200615,2993.76,3079.76,2965.66,3066.59
20200616,3131,3153.45,3076.06,3124.74
